BRIN;VESTNR;naam;plaats;SCHOOLJAAR_2013;TOETS_2013;VERSIE_BL_2013;VERSIE_RW_2013;N_AFN_2013;N_AFN_2013_rw;N_DLN_2013;N_DLN_2013_rw;SCORE_2013;SCORE_2013_rw;SCHOOLJAAR_2012;TOETS_2012;VERSIE_BL_2012;VERSIE_RW_2012;N_AFN_2012;N_AFN_2012_rw;N_DLN_2012;N_DLN_2012_rw;SCORE_2012;SCORE_2012_rw;SCHOOLJAAR_2011;TOETS_2011;VERSIE_BL_2011;VERSIE_RW_2011;N_AFN_2011;N_AFN_2011_rw;N_DLN_2011;N_DLN_2011_rw;SCORE_2011;SCORE_2011_rw;DE_special_SCORE_2012;DE_special_SCORE_2012_rw;DE_SPECIAL_SCORE_2011;DE_SPECIAL_SCORE_2011_rw;status;gew03;gew12;ARUBA;DEMOLUKSEEILANDEN;GIEKENLAND;ITALIE;KAAPVERDIE;MAROKKO;NEDERLANDSEANTILLEN;NIETENGELSTALIGEN;PORTUGAL;SPANJE;SURINAME;TUNESIE;TURKIJE;VLUCHTELINGEN;VMLJOEGOSLAVIE;deelnaamper;waretoets;PRE_1;RES_1;verwacht;toegevoegd;waretoets1
00IF;0,00;basisschool Heilig Hart;Fleringen;2013,00;cito;;;20,00;;20,00;;530,70;;2012,00;cito;;;14,00;;14,00;;534,20;;2011,00;cito;;;20,00;;20,00;;532,40;;;;;;19,61;0,18;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;-0,38;0,05;-0,43;534,20;-1,73;532,47
00IJ;0,00;De Schaapskooi;Nijverdal;2013,00;cito;;;29,00;;29,00;;537,70;;2012,00;cito;;;44,00;;44,00;;538,20;;2011,00;cito;;;21,00;;21,00;;538,00;;;;;;23,75;0,06;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,1%;0,0%;0,0%;0,0%;0,0%;0,3%;0,7%;0,0%;100,00;0,97;0,52;0,46;536,12;1,85;537,97
00IM;0,00;Joos van Larenschool;Arnemuiden;2013,00;SEO;;;11,00;;12,00;;1,47;;2012,00;seo;;;15,00;;13,00;;-0,71;;2011,00;seo;;;9,00;;9,00;;-0,56;;;;;;23,39;0,15;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,14;-0,02;0,19;-0,21;534,76;-0,85;533,91
01VE;0,00;Basisschool De Bron;Barneveld;2013,00;cito;;;24,00;;24,00;;533,90;;2012,00;cito;;;19,00;;18,00;;536,40;;2011,00;cito;;;16,00;;15,00;;540,70;;;;;;19,93;0,01;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,7%;0,0%;96,61;0,71;0,63;0,07;536,59;0,29;536,88
01VG;0,00;Jenaplanschool 't Vlot;Hoogezand;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;15,00;15,00;15,00;15,00;63,90;109,10;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;10,00;10,00;10,00;10,00;;;2011,00;anders;;;-1,00;;-1,00;;;;40;10;;;0,54;0,04;0,05;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;1,2%;1,2%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;100,00;0,74;0,26;0,48;535,07;1,94;537,01
01VG;1,00;Jenaplanschool Peter Petersen;Haren Gn;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;29,00;29,00;29,00;29,00;68,00;116,00;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;23,00;23,00;22,00;22,00;;;2011,00;lvs;1998 midden;2009 midden;30,00;30,00;29,00;30,00;68,30;;31.8;22.7;;16,60;26,03;0,00;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;97,56;1,84;0,79;1,05;537,21;4,29;541,50
01VI;0,00;pcbs De Wingerd;Amersfoort;2013,00;cito;;;24,00;;23,00;;536,10;;2012,00;cito;;;31,00;;31,00;;535,40;;2011,00;cito;;;23,00;;22,00;;533,80;;;;;;2,06;0,03;0,00;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;2,9%;0,0%;0,5%;1,4%;0,0%;2,9%;0,0%;0,0%;97,44;0,22;0,44;-0,22;535,81;-0,89;534,92
01VQ;0,00;rkbs De Beekvliet;Velserbroek;2013,00;drempel;;;58,00;;58,00;;536,00;;2012,00;drempel;;;57,00;;57,00;;535,00;;2011,00;drempel;;;62,00;;62,00;;535,00;;;;;;28,92;0,02;0,01;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,0%;0,7%;0,5%;0,2%;0,0%;0,0%;0,0%;0,0%;0,7%;100,00;0,33;0,74;-0,41;537,01;-1,65;535,36
01VR;0,00;Montessorischool;Nieuwerkerk Ad Ijssel;2013,00;lvs;2010 MIDDEN;2009 MIDDEN;25,00;25,00;24,00;23,00;70,50;111,20;2012,00;lvs;2010 MIDDEN;2009 MIDDEN;21,00;21,00;20,00;20,00;;;2011,00;entree;;;21,00;;21,00;;280,50;;20;50;;;21,01;0,01;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;3,1%;0,0%;0,0%;0,0%;0,0%;1,3%;0,0%;0,4%;0,0%;0,0%;97,01;1,57;0,65;0,93;536,63;3,77;540,40
01VY;0,00;Openbare basisschool De Lingewaard;Arkel;2013,00;cito;;;42,00;;40,00;;538,60;;2012,00;cito;;;38,00;;36,00;;537,20;;2011,00;cito;;;40,00;;36,00;;535,40;;;;;;23,50;0,12;0,02;0,0%;0,0%;0,0%;0,0%;0,0%;0,3%;0,3%;0,3%;0,0%;0,3%;0,7%;0,0%;0,0%;0,0%;0,0%;93,33;0,65;0,26;0,39;535,07;1,57;536,64
