BRIN,financieel,overig
07MH,Basistoezicht,Basistoezicht
06OT,Basistoezicht,Basistoezicht
06KU,Basistoezicht,Basistoezicht
05SW,Basistoezicht,Basistoezicht
03ZF,Basistoezicht,Basistoezicht
03HV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
03HV,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
03HI,Basistoezicht,Basistoezicht
03HH,Basistoezicht,Basistoezicht
00AV,Basistoezicht,Basistoezicht
00AP,Basistoezicht,Basistoezicht
24BG,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
24BG,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15VM,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15OH,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
15LX,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
14LB,Basistoezicht,Basistoezicht
14FU,Basistoezicht,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
13ZS,Basistoezicht,Basistoezicht
10UK,Basistoezicht,Basistoezicht
10CU,Basistoezicht,Basistoezicht
09ZO,Basistoezicht,Basistoezicht
09RP,Basistoezicht,Basistoezicht
09HC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
09HC,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08UA,Basistoezicht,Basistoezicht
08TI,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
08IE,Basistoezicht,Basistoezicht
08DI,Basistoezicht,Basistoezicht
07FZ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
07AF,Basistoezicht,Basistoezicht
04HT,Basistoezicht,Basistoezicht
02ZF,Basistoezicht,Basistoezicht
01XH,Basistoezicht,Basistoezicht
01VY,Basistoezicht,Basistoezicht
00AZ,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
28DA,Basistoezicht,Basistoezicht
27VA,Basistoezicht,Basistoezicht
26PP,Basistoezicht,Basistoezicht
26PJ,Basistoezicht,Basistoezicht
26AX,Basistoezicht,Basistoezicht
26AU,Basistoezicht,Basistoezicht
19ZJ,Basistoezicht,Basistoezicht
19ZF,Basistoezicht,Basistoezicht
19YX,Basistoezicht,Basistoezicht
19YS,Basistoezicht,Basistoezicht
19YL,Basistoezicht,Basistoezicht
19XU,Basistoezicht,Basistoezicht
19WO,Basistoezicht,Basistoezicht
19VV,Basistoezicht,Zwak
19VB,Basistoezicht,Geen oordeel, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19UK,Basistoezicht,Basistoezicht
19TO,Basistoezicht,Basistoezicht
19SI,Basistoezicht,Basistoezicht
19QD,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19OQ,Basistoezicht,Basistoezicht, Basistoezicht, Zwak, Zeer zwak, Geen oordeel
19OC,Basistoezicht,Basistoezicht
