BEVOEGD GEZAG NUMMER;BEVOEGD GEZAG NAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;ADMINISTRATIEKANTOORNUMMER;SOORT PRIMAIR ONDERWIJS
41579;Sticht. Openbaar Basisonderw. Westelijke Tuinsteden;Thomas van Aquinostraat;2;1064 NE;AMSTERDAM;0363;AMSTERDAM;Openbaar;0203460690;www.stwt.nl;Postbus;67106;1060 JC;AMSTERDAM;222;BO + SBO
41580;AmstelWijs, stichting voor openbaar primair onderw.;Bouwerij;102;1185 XX;AMSTELVEEN;0362;AMSTELVEEN;Openbaar;0204262460;www.amstelwijs.nl;Postbus;9159;1180 MD;AMSTELVEEN;696;BO + SBO
41582;Alpha Scholengroep, Ver. voor Chr. Basisonderw. Z. Beveland;Stationspark;47-A;4462 DZ;GOES;0664;GOES;Overige;0113561777;www.alphascholengroep.nl;Postbus;269;4460 AR;GOES;953;BO
41583;RADAR, Vereniging voor P.C.O. Schouwen-Duiveland;Kabbelaarsbank;2;4301 XB;ZIERIKZEE;1676;SCHOUWEN-DUIVELAND;Protestants-Christelijk;0111695304;www.radarscholen.nl;Postbus;109;4300 AC;ZIERIKZEE;413;BO
41588;Ver. v. Chr. Schoolonderwijs te Well;Dreef;6;5325 XD;WELL GLD;0263;MAASDRIEL;Protestants-Christelijk;0735949771;www.cbsdehoeksteen-well.nl;Dreef;6;5325 XD;WELL GLD;136;BO
41595;'Spirit', Stichting voor Confessioneel Onderwijs;Kriekenoord;13;1111 PT;DIEMEN;0384;DIEMEN;Overige;0207531144;www.spiritbasisscholen.nl;Kriekenoord;13;1111 PT;DIEMEN;222;BO
41596;Stichting De Noordwijkse School;Hoogwakersbosstraat;14;2202 SP;NOORDWIJK ZH;0575;NOORDWIJK;Algemeen bijzonder;0713619800;www.denoordwijkseschool.nl;Postbus;4009;2301 RA;LEIDEN;098;BO
41604;Stichting LeerSaam;Beukenlaan;45;4871 VG;ETTEN-LEUR;0777;ETTEN-LEUR;Openbaar;0765017365;www.leersaam-ettenleur.nl;Postbus;497;4870 AL;ETTEN-LEUR;950;BO
41611;Stichting OPMAAT;Piushaven;6;5017 AN;TILBURG;0855;TILBURG;Openbaar;0134693360;www.opmaat-scholen.nl;Postbus;5142;5004 EC;TILBURG;   ;BO
41613;Stichting Openbaar Onderwijs Oost Groningen;Huningaweg;8;9682 PB;OOSTWOLD GEM OLDAMBT;1895;OLDAMBT;Openbaar;0597453980;www.sooog.nl;Postbus;65;9670 AB;WINSCHOTEN;706;BO + SBO + SO + VSO
41616;Stichting Openb. Prim. Onderw. Apeldoorn;2e Wormenseweg;80;7331 VG;APELDOORN;0200;APELDOORN;Openbaar;0555393750;www.leerplein055.nl;Postbus;10098;7301 GB;APELDOORN;686;BO + SBO + SO + VSO
41617;Stichting Scholengroep Veluwezoom;Doesburgsedijk;7;6953 AK;DIEREN;0275;RHEDEN;Openbaar;0264979333;www.scholengroepveluwezoom.nl;Postbus;18;6990 AA;RHEDEN;949;BO + SBO
41619;Stichting Speciaal Basisonderwijs Hertog van Brabantschool;Brabantlaan;75;5262 JH;VUGHT;0865;VUGHT;Overige;0736840900;www.hertogvanbrabantschool.nl;Postbus;146;5260 AC;VUGHT;950;SBO
41621;Vereniging voor Protestants Chr. Onderwijs De Viermaster;Schoolstraat;1;6744 WS;EDERVEEN;0228;EDE;Protestants-Christelijk;0318576580;www.vpcodeviermaster.nl;Schoolstraat;1;6744 WS;EDERVEEN;706;BO
41624;Ver. voor Geref. Prim. Onderw. 'de Oosthoek';G Karel v Hogendorpstr;52-A;7691 AW;BERGENTHEIM;0160;HARDENBERG;Gereformeerd vrijgemaakt;0523271580;www.vgpodeoosthoek.nl;G Karel v Hogendorpstr;52-A;7691 AW;BERGENTHEIM;613;BO
41626;Stichting Jenapleinschool;Enkstraat;69;8012 VA;ZWOLLE;0193;ZWOLLE;Algemeen bijzonder;0384228240;www.jenapleinschool.nl;Postbus;762;8000 AT;ZWOLLE;780;BO
41629;Stichting Promes;Industrieweg;1-B-1;7944 HT;MEPPEL;0119;MEPPEL;Openbaar;0522278120;                                                                                ;Postbus;151;7940 AD;MEPPEL;948;BO + SBO + SO + VSO
41630;Onderwijsstichting ARCADE;Vechtstraat;5-B;7772 AX;HARDENBERG;0160;HARDENBERG;Openbaar;0523624330;www.onderwijsstichtingarcade.nl;Postbus;277;7770 AG;HARDENBERG;947;BO
41631;Stichting Comperio;Van Harenstraat;37;8471 JC;WOLVEGA;0098;WESTSTELLINGWERF;Openbaar;0561691777;www.comperio.nl;Postbus;119;8470 AC;WOLVEGA;940;BO + SBO
41632;Ver. voor Ger. Prim. Onderwijs Accretio;Campus;5;8017 CB;ZWOLLE;0193;ZWOLLE;Gereformeerd vrijgemaakt;0382305001;www.vgpo-accretio.nl;Postbus;393;8000 AJ;ZWOLLE;613;BO + SBO
41633;Stichting Regionaal Openbaar Onderwijs Maas en Meierij;Kersenbogerd;4;5328 GW;ROSSUM GLD;0263;MAASDRIEL;Openbaar;0418663024;www.stroomm.nl;Postbus;152;5330 AD;KERKDRIEL;   ;BO
41634;Stichting Jenaplan onderwijs Epe e.o.;Schotweg;2;8162 GM;EPE;0232;EPE;Algemeen bijzonder;0578620426;www.jenaplanepe.nl;Schotweg;2;8162 GM;EPE;780;BO
41635;Stichting LSG-Rentray Onderwijs;Mettrayweg;25;7211 LC;EEFDE;0262;LOCHEM;Protestants-Christelijk;0885477000;                                                                                ;Postbus;94;7200 AB;ZUTPHEN;954;VSO
41637;Stichting Escalda Scholen;Nieuwstraat;50-C;4501 BE;OOSTBURG;1714;SLUIS;Openbaar;0117450610;www.escaldascholen.nl;Postbus;35;4500 AA;OOSTBURG;   ;BO
41638;Stg. Openb. Primair Onderwijs Alblasserwaard/Vijfheerenland.;Dam;1;4241 BL;ARKEL;0689;GIESSENLANDEN;Openbaar;0183566690;www.o2a5.nl;Postbus;59190;3008 PD;ROTTERDAM;950;BO
41639;Stichting PROKIND scholengroep;Theemsweg;57;3201 LT;SPIJKENISSE;1930;NISSEWAARD;Openbaar;0181635439;www.prokind-scholengroep.nl;Theemsweg;57;3201 LT;SPIJKENISSE;168;BO + SBO
41644;Stichting Gereformeerd SBO De Werf;James Cookstraat;10;3814 XD;AMERSFOORT;0307;AMERSFOORT;Gereformeerd vrijgemaakt;0334701315;www.sbo-dewerf.nl;Burg de Beaufortweg;16;3833 AG;LEUSDEN;638;SBO
41645;De Basis, stichting voor openb primair onderwijs Arnhem;Beverweerdlaan;3;6825 AE;ARNHEM;0202;ARNHEM;Openbaar;0267600900;www.debasis.org;Postbus;2044;6802 CA;ARNHEM;744;BO + SBO
41646;Vereniging Gereformeerd Primair Onderwijs West-Nederland;'s-Molenaarsweg;1;2401 LL;ALPHEN AAN DEN RIJN;0484;ALPHEN AAN DEN RIJN;Gereformeerd vrijgemaakt;0172418830;www.gpown.nl;'s-Molenaarsweg;1;2401 LL;ALPHEN AAN DEN RIJN;213;BO + SBO
41651;Stichting Primair Christelijk Onderwijs Nieuwleusen;Meidoornstraat;10;7711 KV;NIEUWLEUSEN;0148;DALFSEN;Protestants-Christelijk;0529480982;                                                                                ;Postbus;62;7710 AB;NIEUWLEUSEN;715;BO
41662;Stichting De Kempen, openbaar en algemeen onderwijs;Provincialeweg;74;5503 HJ;VELDHOVEN;0861;VELDHOVEN;Openbaar;0402301560;www.rbobdekempen.nl;Provincialeweg;74;5503 HJ;VELDHOVEN;947;BO
41663;Amsterdam-West Binnen de Ring stg. v. Openb. Primair Onderw.;Baarsjesweg;224;1058 AA;AMSTERDAM;0363;AMSTERDAM;                              ;0205150440;www.awbr.nl;Baarsjesweg;224;1058 AA;AMSTERDAM;950;BO
41664;Stichting Dunamare Onderwijsgroep;Diakenhuisweg;5;2033 AP;HAARLEM;0392;HAARLEM;Samenwerking Opb., Alg. Bijz.;0235303600;www.dunamare.nl;Postbus;4470;2003 EL;HAARLEM;696;SO + VSO
41669;Stichting Facetscholen voor openbaar primair onderwijs;Lange Meet;1;4421 GR;KAPELLE;0678;KAPELLE;Openbaar;0113342196;www.facetscholen.nl;Postbus;58;4420 AC;KAPELLE;953;BO
41670;stichting Openbaar Prim. Onderw. Nobego;Meestoofweg;10;4475 AR;WILHELMINADORP;0664;GOES;Openbaar;0113219228;www.nobego.nl;Meestoofweg;10;4475 AR;WILHELMINADORP;953;BO
41671;Stichting EduCare,Chr.Speciaal Onderwijs te Harderwijk e.o.;Stationslaan;32;8071 CM;NUNSPEET;0302;NUNSPEET;Protestants-Christelijk;0341452795;www.educare-harderwijk.nl;Postbus;170;8070 AD;NUNSPEET;948;SBO + SO + VSO
41672;Stg. Algemeen Toegankelijk Onderwijs 's-Hertogenbosch eo;Berlicumseweg;8-G;5248 NT;ROSMALEN;0796;S HERTOGENBOSCH;Samenwerking Opb., Alg. Bijz.;0738507788;www.ato-scholenkring.nl;Postbus;185;5240 AD;ROSMALEN;   ;BO
41674;Stichting Primair Openbaar Onderwijs Ede;Horapark;3;6717 LZ;EDE GLD;0228;EDE;Openbaar;0318611631;www.proominent.nl;Horapark;3;6717 LZ;EDE GLD;606;BO
41675;Stichting Openbare Basisschol. Gemeenschap Leiderdorp;Leeuwerikstraat;6;2352 ER;LEIDERDORP;0547;LEIDERDORP;Openbaar;0715890385;www.obsgleiderdorp.org;Postbus;104;2350 AC;LEIDERDORP;136;BO
41676;Almeerse Scholen Groep (ASG) Stg. voor openb.prim. en v.o.;Randstad;2031;1314 BC;ALMERE;0034;ALMERE;Openbaar;0365406363;www.almeersescholengroep.nl;Postbus;60276;1320 AH;ALMERE;626;BO + SBO
41691;Stichting Onderwijsgroep SPOENK;Schoolstraat;1;4051 AV;OCHTEN;1740;NEDER-BETUWE;Openbaar;0852734675;www.onderwijsgroepspoenk.nl;Schoolstraat;1;4051 AV;OCHTEN;744;BO
41692;Stichting Swalm en Roer voor Onderwijs en Opvoeding;Roerderweg;35;6041 NR;ROERMOND;0957;ROERMOND;Samenwerking Opb., PC, RK, Alg;0475345830;www.swalmenroer.nl;Postbus;606;6040 AP;ROERMOND;401;BO + SBO
41693;Onderwijsgrp Fier, stg. openb. en alg. bijz. primair onderw.;Pyter Jurjensstrjitte;8;9051 BS;STIENS;0081;LEEUWARDERADEEL;Samenwerking Opb., Alg. Bijz.;0582539580;www.onderwijsgroepfier.nl;Postbus;31;9050 AA;STIENS;940;BO
41716;Stichting Sirius;Schonerwoerdstraat;1-A;1107 GA;AMSTERDAM;0363;AMSTERDAM;Openbaar;0203116464;www.stichting-sirius.nl;Schonerwoerdstraat;1-A;1107 GA;AMSTERDAM;638;BO + SBO
41731;'Stg. voor Katholiek Onderwijs Sint-Oedenrode'(SKOSO);Borchmolendijk;19-A;5492 AJ;SINT-OEDENRODE;0846;SINT-OEDENRODE;Rooms-Katholiek;0413420706;www.skoso.nl;Postbus;58;5490 AB;SINT-OEDENRODE;   ;BO
41735;Stichting Openbaar Primair Onderwijs Furore;Zetveld;38-B;9202 LM;DRACHTEN;0090;SMALLINGERLAND;Openbaar;0512582600;www.opofurore.nl;Postbus;210;9200 AE;DRACHTEN;948;BO + SBO
41736;Stichting ProCon, Stichting voor Christel. Prim. onderwijs;Westerenkweg;17;8172 VT;VAASSEN;0232;EPE;Protestants-Christelijk;0578575806;www.stichtingprocon.nl;Westerenkweg;17;8172 VT;VAASSEN;606;BO
41772;St. Talent, Openb. Bas.onderw. Hoorn;Nieuwstraat;23;1621 EA;HOORN NH;0405;HOORN;Openbaar;0229282040;www.talenthoorn.nl;Nieuwstraat;23;1621 EA;HOORN NH;213;BO
41774;'Samen tussen Amstel en IJ' Stg. Openbaar Prim. Onderwijs;Cruquiusweg;68-70;1019 AH;AMSTERDAM;0363;AMSTERDAM;Openbaar;0207163460;www.staij.nl;Cruquiusweg;68-70;1019 AH;AMSTERDAM;950;BO + SBO
41775;Stichting BOOR;Prins Hendrikkade;14;3071 KB;ROTTERDAM;0599;ROTTERDAM;Openbaar;0102540800;www.stichtingboor.nl;Postbus;23058;3001 KB;ROTTERDAM;401;BO + SBO + SO + VSO
41777;Stichting Onderwijsgroep Primus;Van Leeuwenhoekweg;10;8451 CN;OUDESCHOOT;0074;HEERENVEEN;Openbaar;0513656659;www.ogprimus.nl;Van Leeuwenhoekweg;10;8451 CN;OUDESCHOOT;815;BO
41778;Stichting Samen Onderwijs Maken (SOM);Marslaan;1;4624 CT;BERGEN OP ZOOM;0748;BERGEN OP ZOOM;Overige;0164235225;www.stichtingsom.nl;Postbus;18010;4601 ZA;BERGEN OP ZOOM;413;BO
41779;Stg. Openbaar Primair Onderw. Slochteren (OPOS);Hoofdweg;1-II;9621 AA;SLOCHTEREN;0040;SLOCHTEREN;Openbaar;0598425644;www.stichtingopos.nl;Postbus;13;9620 AA;SLOCHTEREN;780;BO
41780;Scholengroep Opron, stichting voor openbaar primair onderwijs;Schaepmanstraat;25;9645 HC;VEENDAM;0047;VEENDAM;Openbaar;0599696390;www.opron.nl;Postbus;138;9640 AC;VEENDAM;948;BO + SBO + SO + VSO
41781;Stichting Openbaar Onderw. aan de Amstel;Ruysdaelkade;215;1072 AW;AMSTERDAM;0363;AMSTERDAM;Openbaar;0205776040;www.ooada.nl;Postbus;51356;1007 EJ;AMSTERDAM;222;BO
41782;Stichting De Waarden;Kristallaan;1;4761 ZC;ZEVENBERGEN;1709;MOERDIJK;Samenwerking PC, RK, Alg. Bijz;0168404502;www.dewaarden.nl;Kristallaan;1;4761 ZC;ZEVENBERGEN;   ;BO + SBO
41785;Stg. Openb. Primair Onderwijs Hof van Twente;Kievitstraat;67-A;7471 EL;GOOR;1735;HOF VAN TWENTE;Openbaar;0547276638;www.opohvt.nl;Postbus;220;7470 AE;GOOR;722;BO
41787;Stichting Accent;Plein-Zuid;6;7121 EX;AALTEN;0197;AALTEN;Protestants-Christelijk;0543478444;www.accentscholengroep.nl;Postbus;253;7120 AG;AALTEN;744;BO + SBO
41792;Stg. Reg. Openb. Basisonderw. IJsselstein en Nieuwegein;Albatros;1;3435 XA;NIEUWEGEIN;0356;NIEUWEGEIN;Openbaar;0306009168;www.stichtingrobijn.nl;Postbus;474;3430 AL;NIEUWEGEIN;949;BO
41794;Stichting Delta De Bilt voor Primair Onderwijs;Planetenplein;2;3721 LH;BILTHOVEN;0310;DE BILT;Samenwerking PC, RK;0302211552;www.deltadebilt.nl;Postbus;5040;3502 JA;UTRECHT;706;BO
41797;Stichting Katholiek Onderwijs Echt-Maasbracht e.o.;Peijerstraat;113;6101 GC;ECHT;1711;ECHT-SUSTEREN;Rooms-Katholiek;0475436230;www.skoem.nl;Postbus;57;6100 AB;ECHT;401;BO
41799;Stichting Lerend Leven;Jagerspad;7;3972 XL;DRIEBERGEN-RIJSENBURG;1581;UTRECHTSE HEUVELRUG;Algemeen bijzonder;0343521711;www.deontdekkingsreis.nl;Postbus;23;3970 AA;DRIEBERGEN-RIJSENBURG;706;BO
41800;Stichting Cosmicus Onderwijs;Van Eversdijckstraat;31;3083 MA;ROTTERDAM;0599;ROTTERDAM;Algemeen bijzonder;0102909230;www.rotterdam.bscosmicus.nl;Postbus;59120;3008 PC;ROTTERDAM;   ;BO
41803;Stg. Chr. BO Reform. Grondsl. voor Groningen en Drenthe;Eenendertigste Wijk-N;1;7913 AA;HOLLANDSCHEVELD;0118;HOOGEVEEN;Reformatorisch;0528343536;www.ebenhaezer-school.nl;Eenendertigste Wijk-N;1;7913 AA;HOLLANDSCHEVELD;165;BO
41805;Stichting Speciaal Onderwijs Leiden e.o.;Donizettilaan;1-A;2324 BE;LEIDEN;0546;LEIDEN;Algemeen bijzonder;0715310433;www.kortevlietschool.nl;Donizettilaan;1-A;2324 BE;LEIDEN;098;SO + VSO
41806;Stichting PRIMO-Opsterland;Pastorielaan;4-B;9244 CA;BEETSTERZWAAG;0086;OPSTERLAND;Openbaar;0512386400;www.primo-opsterland.nl;Postbus;42;9244 ZN;BEETSTERZWAAG;940;BO
41807;Stichting ABS Oegstgeest;Rustenburgerpad;2;2342 BT;OEGSTGEEST;0579;OEGSTGEEST;Algemeen bijzonder;0715177066;www.basisschoolhetdak.nl;Postbus;4009;2301 RA;LEIDEN;098;BO
41812;Stichting Openbaar Basisonderwijs Midden-Drenthe;Hofstraat;18;9411 LB;BEILEN;1731;MIDDEN-DRENTHE;Openbaar;0593535100;www.obomd.nl;Hofstraat;18;9411 LB;BEILEN;   ;BO
41813;Stichting Openbaar Basis Onderwijs Dronten;De Drieslag;30;8251 JZ;DRONTEN;0303;DRONTEN;Openbaar;0321385425;www.spilbasisscholen.nl;De Drieslag;30;8251 JZ;DRONTEN;948;BO
41814;Stichting Scholengroep Primato;Oldenzaalsestraat;129;7557 GJ;HENGELO OV;0164;HENGELO;Openbaar;0742556950;www.primatohengelo.nl;Postbus;858;7550 AW;HENGELO OV;722;BO + SBO
41816;Stichting Op Kop Openbaar Primair Onderwijs;Eendrachtsplein;1;8355 DL;GIETHOORN;1708;STEENWIJKERLAND;Openbaar;0521362520;www.stichtingopkop.nl;Postbus;2225;8355 ZJ;GIETHOORN;780;BO + SBO
41820;Stichting Ede voor Islamitisch Onderwijs en Opvoeding;Goudenstein;9;6714 DA;EDE GLD;0228;EDE;Overige;0318634293;                                                                                ;Goudenstein;9;6714 DA;EDE GLD;606;BO
41821;Stichting Alterius;Kloosterkensweg;6;6419 PJ;HEERLEN;0917;HEERLEN;Algemeen bijzonder;0455711896;www.stichtingalterius.nl;Kloosterkensweg;6;6419 PJ;HEERLEN;401;SO + VSO
41825;Ver. tot het verstr. Christ. Onderw. Gereform. Grondslag;Kraaijenveld;2;4261 ZB;WIJK EN AALBURG;0738;AALBURG;Reformatorisch;0183442780;                                                                                ;Kraaijenveld;2;4261 ZB;WIJK EN AALBURG;165;BO
41827;Sticht. Scholen met de Bijbel in de Betuwe;Rembrandt van Rijnstraat;33-31;4033 GG;LIENDEN;0214;BUREN;Protestants-Christelijk;0344602060;www.ssbb.nl;Rembrandt van Rijnstraat;33-31;4033 GG;LIENDEN;165;BO
41829;Stichting Openb. Prim. Onderw. Wassenaar;Bloemcamplaan;52;2244 EE;WASSENAAR;0629;WASSENAAR;Openbaar;0705179783;www.bloemcampschool.nl;Bloemcamplaan;52;2244 EE;WASSENAAR;098;BO
41840;Sticht. Primair en voortgezet onderwijs Zuid-Nederland;Henegouwenlaan;2;5628 WK;EINDHOVEN;0772;EINDHOVEN;Openbaar;0402645367;                                                                                ;Postbus;1310;5602 BH;EINDHOVEN;696;BO
41841;Stichting Schooltij;Keesomlaan;15;1791 DA;DEN BURG;0448;TEXEL;Overige;0222313879;www.thijsse-texel.nl;Postbus;61;1790 AB;DEN BURG;   ;BO
41842;OCTHO, Stichting Openbaar Prim. Onderw. Tholen;Markt;30;4691 BX;THOLEN;0716;THOLEN;Openbaar;0166667028;www.octho.nl;Postbus;23;4690 AA;THOLEN;413;BO
41843;Stg. Primair onderw. Mondriaan Abcoude;Broekzijdselaan;46-A;1391 XL;ABCOUDE;0736;DE RONDE VENEN;Openbaar;          ;www.obspietmondriaan.nl;Broekzijdselaan;46-A;1391 XL;ABCOUDE;950;BO
41844;Stichting Openb. Bas.school de Regenboog;Heycoplaan;13;3621 WS;BREUKELEN UT;1904;STICHTSE VECHT;Openbaar;0346262211;www.regenboog-breukelen.nl;Postbus;113;3620 AC;BREUKELEN UT;638;BO
41845;Ver. voor Christel. Onderwijs in Midden en Oost Groningen;Scholtenswijk;10;9665 KN;OUDE PEKELA;0765;PEKELA;Overige;0597675503;                                                                                ;Postbus;35;9665 ZG;OUDE PEKELA;948;BO
41846;Stichting Westerwijs;Wendtsteinweg;6/ 8;9363 AN;MARUM;0025;MARUM;Openbaar;0594641166;www.westerwijs.nl;Postbus;46;9363 ZG;MARUM;948;BO
41848;Ver. Protestants Christelijk Onderwijs te Wijngaarden;Dorpsstraat;32-A;3366 BD;WIJNGAARDEN ZH;1927;MOLENWAARD;Protestants-Christelijk;0184413278;                                                                                ;Postbus;80;3360 AB;SLIEDRECHT;136;BO
41850;Sticht. Proloog Primair O.O. Leeuwarden;Fonteinland;11;8913 CZ;LEEUWARDEN;0080;LEEUWARDEN;Openbaar;0582347520;www.proloog.nl;Fonteinland;11;8913 CZ;LEEUWARDEN;940;BO + SBO
41851;Stichting Openbaar onderwijs Baasis;Stationsweg;3;9471 GJ;ZUIDLAREN;1730;TYNAARLO;Overige;0504096920;www.stichtingbaasis.nl;Postbus;75;9470 AB;ZUIDLAREN;780;BO
41852;Stichting Zaan Primair voor OP/Voortg. Spec. Onderw.;Ds Martin Luther Kingweg;206;1504 DG;ZAANDAM;0479;ZAANSTAD;Openbaar;0756504888;www.zaanprimair.nl;Ds Martin Luther Kingweg;206;1504 DG;ZAANDAM;222;BO + SBO + SO + VSO
41853;Stichting Spaarnesant;Schipholpoort;2;2034 MA;HAARLEM;0392;HAARLEM;Openbaar;0235430100;www.spaarnesant.nl;Postbus;800;2003 RV;HAARLEM;   ;BO + SBO + SO + VSO
41856;St. Samenw.best. prim. onderw. 'Gearhing';Snekerweg;3;8701 PZ;BOLSWARD;1900;SUDWEST-FRYSLAN;Algemeen bijzonder;0515534300;www.gearhing.nl;Snekerweg;3;8701 PZ;BOLSWARD;948;BO
41857;Bestuurskant. Algem. Bijzond. Scholengroep Amsterdam;Franz Zieglerstraat;201-A;1087 HN;AMSTERDAM;0363;AMSTERDAM;Algemeen bijzonder;0204197222;www.absascholengroep.nl;Franz Zieglerstraat;201-A;1087 HN;AMSTERDAM;223;BO
41858;Stg. Meerwerf Basisscholen Den Helder;Timorlaan;45-A;1782 DK;DEN HELDER;0400;DEN HELDER;Openbaar;0223659300;www.meerwerf.nl;Timorlaan;45-A;1782 DK;DEN HELDER;   ;BO
41860;Stg. PlatOO best. voor openb. en alg. toegankelijk onderwijs;Deurneseweg;13;5709 AH;HELMOND;0794;HELMOND;Openbaar;0492392112;www.platoo.nl;Deurneseweg;13;5709 AH;HELMOND;947;BO
41861;Vereniging voor Gereformeerd Schoolonderwijs Laag Zuthem;Kolkweg;41;8055 PT;LAAG ZUTHEM;0177;RAALTE;Protestants-Christelijk;0529497508;www.bmdbdelinde.nl;Kolkweg;41;8055 PT;LAAG ZUTHEM;638;BO
41862;Stichting Openbaar Primair Onderwijs Deventer;Andriessenplein;22-A;7425 GX;DEVENTER;0150;DEVENTER;Overige;0570782401;www.openbaaronderwijsdeventer.nl;Postbus;502;7400 AM;DEVENTER;744;BO
41863;Stichting Islamitisch Primair Onderwijs;Hooilaan;1;4816 EM;BREDA;0758;BREDA;Islamitisch;0765228019;www.sipobreda.nl;Hooilaan;1;4816 EM;BREDA;413;BO
41866;Stichting Openbaar Onderwijs Houten;De Haag;2-1;3993 AW;HOUTEN;0321;HOUTEN;Openbaar;0306343685;www.oo-h.nl;De Haag;2;3993 AW;HOUTEN;949;BO
41868;Stichting Talent Westerveld;Drift;1-A;7991 AA;DWINGELOO;1701;WESTERVELD;Openbaar;0521594944;www.talentwesterveld.nl;Drift;1-A;7991 AA;DWINGELOO;780;BO
41869;Stichting Markant Onderwijs;Hooilaan;1;4816 EM;BREDA;0758;BREDA;Openbaar;0765289360;www.markantonderwijs.nl;Hooilaan;1;4816 EM;BREDA;401;BO
41871;Stichting Openbaar Onderwijs Kampen;Noordweg;87;8262 BP;KAMPEN;0166;KAMPEN;Openbaar;0383332243;www.ookkampen.nl;Noordweg;87;8262 BP;KAMPEN;715;BO
41876;Stichting Openbaar Primair Onderwijs Rivierenland;Wethouder Schootslaan;5;4005 VG;TIEL;0281;TIEL;Openbaar;0344633262;www.opo-r.nl;Wethouder Schootslaan;5;4005 VG;TIEL;706;BO + SBO
41878;Stichting Openbaar Onderwijs Land van Altena;Jan van Arkelstraat;39;4254 CW;SLEEUWIJK;0870;WERKENDAM;Openbaar;0183303579;www.soo-lva.nl;Postbus;63;4254 ZH;SLEEUWIJK;950;BO
41879;Stichting Gewoon Speciaal;Galerijmuur;51;3991 WX;HOUTEN;0321;HOUTEN;Overige;0306361530;www.gewoonspeciaal.com;Galerijmuur;51;3991 WX;HOUTEN;136;SBO + SO
41880;Stichting Almere Speciaal;Louis Armstrongweg;120;1311 RL;ALMERE;0034;ALMERE;Overige;0367670200;www.almere-speciaal.nl;Louis Armstrongweg;120;1311 RL;ALMERE;222;SO + VSO
41884;Kerkelijk Lichaam 'Geref. Gem. regio Barneveld';Lijsterstraat;6-8;3772 AV;BARNEVELD;0203;BARNEVELD;Gereformeerd;0342400707;                                                                                ;Postbus;176;3770 AD;BARNEVELD;606;BO
41886;Stg. Verschillend Onderwijs in Leusden Achterveld (VOILA);'t Erf;1;3831 NA;LEUSDEN;0327;LEUSDEN;Samenwerking Opb., PC, RK;0334335010;www.voilaleusden.nl;Postbus;32;3830 AA;LEUSDEN;401;BO
41891;Stichting SMART Limburg;Silexstraat;41;6216 XB;MAASTRICHT;0935;MAASTRICHT;Islamitisch;0433437665;www.elhabib.nl;Silexstraat;41;6216 XB;MAASTRICHT;401;BO
41895;Stg. Openbaar Primair Onderw. DE WOLDEN;Dijkhuizen;28;7961 AK;RUINERWOLD;1690;DE WOLDEN;Openbaar;0522820000;www.wolderwijs.nl;Dijkhuizen;28;7961 AK;RUINERWOLD;780;BO
41898;Ver. Prot./Chr. Prim. Onderw. Nieuwerkerk aan den IJssel;De Meidoorn;1-A;2912 RE;NIEUWERKERK AD IJSSEL;1892;ZUIDPLAS;Protestants-Christelijk;0180326832;www.pcponwk.nl;Postbus;37;2910 AA;NIEUWERKERK AD IJSSEL;706;BO
41899;Stg. Openbaar Primair Onderw. Aa en Hunze;Spiekersteeg;1;9461 BH;GIETEN;1680;AA EN HUNZE;Overige;0592333800;www.primah.org;Postbus;35;9460 AA;GIETEN;940;BO
41978;Stichting Uniek;Wilhelminalaan;11-D;4941 GJ;RAAMSDONKSVEER;0779;GEERTRUIDENBERG;Rooms-Katholiek;0162510262;www.stichting-uniek.nl;Postbus;122;4930 AC;GEERTRUIDENBERG;947;BO
42122;Ver. Verstr. Schoolonderwijs op Reformatorische Grondslag;Erve den Boom;7;7463 CJ;RIJSSEN;1742;RIJSSEN-HOLTEN;Reformatorisch;0548513031;                                                                                ;Postbus;28;7460 AA;RIJSSEN;165;BO
42148;Stichting Confessioneel Onderwijs R'IJssel;'t Holland;2-A;6921 GW;DUIVEN;0226;DUIVEN;Samenwerking PC, RK;0316263544;www.scorijssel.nl;Postbus;159;7000 AD;DOETINCHEM;744;BO
42330;Stichting Kindergemeenschap Albert Schweitzer;Schaepmanstraat;4;6941 CH;DIDAM;1955;MONTFERLAND;Protestants-Christelijk;0316223286;                                                                                ;Lupinenstraat;13;6942 VA;DIDAM;744;BO
42486;Stichting Primair Onderwijs Groesbeek;Bredeweg;68;6562 DG;GROESBEEK;1945;BERG EN DAL;Samenwerking Opb., PC, Alg. Bi;0243662260;www.spog.nl;Postbus;68;6560 AB;GROESBEEK;606;BO + SBO
42504;Stichting Openbaar Primair en Speciaal Onderwijs Leiden;Maresingel;3;2316 HA;LEIDEN;0546;LEIDEN;Openbaar;0715247670;www.prooleiden.nl;Maresingel;3;2316 HA;LEIDEN;098;BO + SO
